,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,0.30136986301369856,0.75,0.04430189755640374,0.6,0.8,0.6666666666666666,0.0,0.2,1.0,1.0,0.021740217402174022,0.0,0.39795918367346933,0.926829268292683,0
1,0.4520547945205479,0.625,0.04823759525135491,0.6,0.8,0.3333333333333333,0.21428571428571427,0.0,1.0,1.0,0.0,0.0,0.12244897959183672,0.926829268292683,0
2,0.2876712328767123,0.375,0.1381134458917972,0.7333333333333333,0.5333333333333333,0.0,0.3571428571428571,0.2,1.0,1.0,0.0,0.0,0.39795918367346933,0.926829268292683,0
3,0.4931506849315069,0.375,0.1510683093139186,0.06666666666666667,0.4,0.3333333333333333,0.3571428571428571,0.0,0.5,1.0,0.0,0.0,0.39795918367346933,0.926829268292683,0
4,0.1506849315068493,0.375,0.2214884340066014,0.6,0.8,0.3333333333333333,0.6428571428571428,1.0,0.5,0.0,0.0,0.0,0.39795918367346933,0.0975609756097561,0
5,0.27397260273972607,0.375,0.18493160918759594,0.8,0.8666666666666667,0.3333333333333333,0.21428571428571427,1.0,1.0,0.0,0.0,0.0,0.39795918367346933,0.926829268292683,0
6,0.4383561643835617,0.375,0.10044824167017563,0.4,0.26666666666666666,0.5,0.5,0.2,0.5,0.0,0.0,0.0,0.1530612244897959,0.5365853658536586,0
7,0.4794520547945205,0.625,0.1340358050012904,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.21428571428571427,0.0,1.0,1.0,0.0,0.0,0.44897959183673464,0.926829268292683,1
8,0.1917808219178082,0.375,0.022748943915458904,0.8,0.8666666666666667,0.6666666666666666,0.6428571428571428,0.2,1.0,0.0,0.14084140841408413,0.0,0.5,0.926829268292683,1
9,0.3424657534246575,0.375,0.0999470259844338,0.6,0.8,0.3333333333333333,0.21428571428571427,0.0,1.0,1.0,0.051780517805178054,0.0,0.39795918367346933,0.926829268292683,1
10,0.27397260273972607,0.375,0.1821348528273183,1.0,0.6,0.3333333333333333,0.21428571428571427,0.0,0.5,1.0,0.0,0.0,0.8061224489795917,0.926829268292683,1
11,0.1780821917808219,0.75,0.08761902174651255,0.6,0.8,0.3333333333333333,0.6428571428571428,0.0,0.25,1.0,0.0,0.0,0.39795918367346933,0.43902439024390244,1
12,0.0821917808219178,0.375,0.07469811602667717,0.6,0.8,0.6666666666666666,0.0,0.6000000000000001,1.0,0.0,0.0,0.0,0.2959183673469387,0.926829268292683,0
13,0.2054794520547945,0.375,0.13089607584792384,0.4666666666666667,0.7333333333333334,0.6666666666666666,0.7857142857142857,0.2,0.5,1.0,0.0,0.0,0.5,0.926829268292683,0
14,0.3150684931506849,0.375,0.07435853900381685,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.25,1.0,0.0,0.0,0.39795918367346933,1.0,1
15,0.2328767123287671,0.375,0.15838008177014712,0.3333333333333333,0.2,0.3333333333333333,0.9285714285714285,0.0,0.0,1.0,0.0,0.0,0.44897959183673464,0.6097560975609756,0
16,0.1095890410958904,0.625,0.11170114505372108,0.7333333333333333,0.5333333333333333,0.6666666666666666,0.2857142857142857,0.6000000000000001,1.0,1.0,0.0,0.0,0.346938775510204,0.926829268292683,0
17,0.2054794520547945,0.375,0.1185388679860366,0.7333333333333333,0.5333333333333333,0.6666666666666666,0.42857142857142855,0.8,1.0,1.0,0.0,0.0,0.39795918367346933,0.926829268292683,0
18,0.2876712328767123,0.375,0.011275315467054238,0.06666666666666667,0.4,0.3333333333333333,0.7857142857142857,0.0,1.0,1.0,0.0,0.0,0.5,0.926829268292683,0
